# Requirement differences between 'cis-r2' and 'cis-r4'
# Format: NAME,ABSENT-IN-<FILE>,PRESENT-IN-<FILE>,REQ_OR_NA
Network-Based URL Filters,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,NA
Perform Automated Vulnerability Scans of Internal Enterprise Assets,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Pod Security Standards,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
RBAC Access Control Restrictions,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,NA
Restrict Administrator Privileges,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,Allowlist authorized container registries.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,Ensure that all users with administrative account access use a dedicated or ● ● ● secondary account for elevated activities.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,Restrict administrator privileges to dedicated administrator accounts on ● ● ● enterprise assets.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,Do not generally permit containers to be run with the allowPrivilegeEscalation flag set to true.
Restrict Administrator Privileges to Dedicated Administrator Accounts,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,Do not generally permit containers to share the host network namespace.
Restrict Administrator Privileges to Dedicated Administrator Accounts v8,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,NA
Run Automated Vulnerability Scanning Tools,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Secret Management,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Secure Configurations,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Service Account Management,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Service Account Token Mounting,ABSENT-IN-cis-r4,PRESENT-IN-cis-r2,NA
Webhook Authentication Enabled,ABSENT-IN-cis-r2,PRESENT-IN-cis-r4,NA
